Timestamp,EventType,Message
2026-02-02 00:37:03,ACCESS_GRANTED,"User Abhay verified"
2026-02-02 00:37:03,ANOMALY_TIME,"Unusual time: 00:37"
2026-02-02 00:37:03,ANOMALY_IDENTITY,"Multiple Identities (3)"
2026-02-02 00:37:05,ANOMALY_TIME,"Unusual time: 00:37"
2026-02-02 00:37:05,ANOMALY_IDENTITY,"Multiple Identities (3)"
2026-02-02 00:37:08,ACCESS_GRANTED,"User Abhay verified"
2026-02-02 00:37:10,ANOMALY_TIME,"Unusual time: 00:37"
2026-02-02 00:37:10,ANOMALY_IDENTITY,"Multiple Identities (3)"
2026-02-02 00:37:11,ACCESS_DENIED,"ACCESS DENIED - Attempt 1/5"
2026-02-02 00:37:14,ACCESS_DENIED,"ACCESS DENIED - Attempt 2/5"
2026-02-02 00:37:20,ACCESS_DENIED,"ACCESS DENIED - Attempt 3/5"
2026-02-02 00:37:23,ACCESS_DENIED,"ACCESS DENIED - Attempt 4/5"
2026-02-02 00:37:26,ACCESS_DENIED,"ACCESS DENIED - Attempt 5/5"
2026-02-02 00:37:26,LOCKDOWN_START,"Max failed attempts reached"
2026-02-02 00:37:41,LOCKDOWN_END,"Lockdown Lifted"
2026-02-02 00:37:41,ACCESS_GRANTED,"User Abhay verified"
2026-02-02 00:37:45,ANOMALY_TIME,"Unusual time: 00:37"
2026-02-02 00:37:46,ANOMALY_TIME,"Unusual time: 00:37"
2026-02-02 00:37:47,ACCESS_GRANTED,"User Abhay verified"
2026-02-02 00:38:00,ACCESS_GRANTED,"User Abhay verified"
2026-02-02 00:38:01,ANOMALY_TIME,"Unusual time: 00:38"
2026-02-02 00:38:06,ACCESS_GRANTED,"User Abhay verified"
2026-02-02 00:38:06,ANOMALY_TIME,"Unusual time: 00:38"
2026-02-02 00:38:11,ACCESS_DENIED,"ACCESS DENIED - Attempt 1/5"
2026-02-02 00:38:12,ANOMALY_TIME,"Unusual time: 00:38"
2026-02-02 00:38:13,ANOMALY_TIME,"Unusual time: 00:38"
2026-02-02 00:38:17,ACCESS_DENIED,"ACCESS DENIED - Attempt 2/5"
